,count,rate_num,ratio,trace,score,var_fin,learn_time,n_selected,n_pruned
366,6,0,95,True,54.0,0.010057190645564347,164.4,47,47
367,7,0,95,True,46.0,0.004316326126279734,163.45000000000002,47,47
368,8,0,95,True,46.0,0.0021399678501651193,83.05000000000001,40,54
369,9,0,95,True,54.0,0.0035187719891013325,103.55000000000001,47,47
370,0,0,95,False,98.0,0.21370605492851563,80.05000000000001,48,47
371,1,0,95,False,99.0,0.2333008535226417,105.45,48,47
372,2,0,95,False,53.0,0.002646779580116588,229.75,0,95
373,3,0,95,False,98.0,0.23216524460664714,89.60000000000001,48,47
374,4,0,95,False,98.0,0.20560499138647614,152.1,48,47
375,5,0,95,False,98.0,0.22282625512828141,109.25,47,48
376,6,0,95,False,99.0,0.20627345136534034,107.5,48,47
377,7,0,95,False,64.0,0.0033250669264705815,,1,94
378,8,0,95,False,98.0,0.14312748611031606,40.85,26,69
379,9,0,95,False,99.0,0.21339862756083147,,48,47
380,0,0,100,True,47.0,0.001194581730362751,105.9,47,53
381,1,0,100,True,56.0,0.02449545478166702,272.65000000000003,74,26
382,2,0,100,True,58.0,0.0004313146675927478,124.5,91,9
383,3,0,100,True,54.0,0.0018735020121430886,76.95,28,72
384,4,0,100,True,48.0,0.0017834668431431714,163.05,89,11
385,5,0,100,True,53.0,0.0009562101356226514,125.55000000000001,94,6
386,6,0,100,True,51.0,0.00023566604243188067,93.25,97,3
387,7,0,100,True,47.0,0.0009739964917455795,127.05000000000001,100,0
388,8,0,100,True,63.0,0.00013407923640492287,126.45,13,87
389,9,0,100,True,48.0,0.0014568427348137893,162.75,25,75
390,0,0,100,False,99.0,0.24371602374900356,96.5,50,50
391,1,0,100,False,97.0,0.21530055653063718,77.7,50,50
392,2,0,100,False,98.0,0.2084923645259532,109.30000000000001,50,50
393,3,0,100,False,97.0,0.21654464744772955,126.30000000000001,50,50
394,4,0,100,False,100.0,0.21138470914569096,208.4,50,50
395,5,0,100,False,99.0,0.23318596085879162,90.95,50,50
396,6,0,100,False,98.0,0.22029591344948948,174.8,50,50
397,7,0,100,False,99.0,0.22071270769030296,122.5,50,50
